resolution_month,liquidity_bucket,available_count,sampled_count
2025-04,all,194,0
2025-04,high,617,1
2025-04,low,233,0
2025-04,mid,507,1
2025-05,all,519,1
2025-05,high,1721,3
2025-05,low,668,1
2025-05,mid,1015,2
2025-06,all,842,2
2025-06,high,2024,4
2025-06,low,824,2
2025-06,mid,934,2
2025-07,all,867,2
2025-07,high,2815,5
2025-07,low,607,1
2025-07,mid,874,2
2025-08,all,3107,6
2025-08,high,3283,6
2025-08,low,518,1
2025-08,mid,1080,2
2025-09,all,3942,7
2025-09,high,4674,9
2025-09,low,2926,5
2025-09,mid,3960,7
2025-10,all,1579,3
2025-10,high,7861,15
2025-10,low,6210,12
2025-10,mid,9805,19
2025-11,all,5745,11
2025-11,high,13573,26
2025-11,low,21151,40
2025-11,mid,20112,38
2025-12,all,30513,58
2025-12,high,17077,32
2025-12,low,22690,43
2025-12,mid,19326,37
2026-01,all,27256,52
2026-01,high,27191,51
2026-01,low,25009,47
2026-01,mid,23222,44
